name,latitude,longitude
Best Gemüse Kebap,52.4810552,13.4345447
Meydan,52.4738723,13.4410866
Enfes,52.4869949,13.4242932
Gemüse Döner Kebab,52.4877977,13.4259828
Hazar Kebab,52.4861261,13.4252823
Has Döner,52.4871001,13.42269
Shawarma Albaik,52.4862453,13.4291776
Gel Gör,52.4917133,13.4232107
Grillhaus,52.4862453,13.4468409
Kebab Haus,52.4735581,13.4558428
Atila's Kebap Haus 2,52.4610126,13.4799191
Kurt Kebap,52.4632002,13.4838313
Döner 49,52.4675687,13.4897981
Final Bistro,52.4536053,13.5094736
Bistro Weide,52.4624533,13.5145636
Salzmann Bistro,52.4971909,13.498838
Tierpark Bistro,52.4968731,13.5233586
Wiener 63,52.4982933,13.430157
Zagros,52.4994819,13.4284056
Mac's Kebap,52.5015744,13.4315434
Tunas Gemüse Kebap,52.4997452,13.4388667
Kiran,52.4998436,13.439161
Bagdad,52.5007079,13.4421693
Bistro Istanbul,52.5038496,13.4473758
mundis,52.5028967,13.4472699
Unka Köfteburger,52.4980313,13.4429779
Döner - Frieden Kebaphaus,52.5226413,13.4346668
Bistro International,52.511108,13.4354502
Bistro Istanbul,52.5156369,13.4398981
Ossi Chicken Kebab,52.5113206,13.4349195
Bistro 93,52.5176798,13.4410506
Döner Pikante,52.5084588,13.4524039
Mustafa Demir's Retro Döner,52.5095339,13.4508541
doen doen Kebap,52.509894,13.4558664
Melissa,52.4989849,13.4642845
Best of Grill,52.5063917,13.4702176
Bro‘s Döner Kepab,52.5045764,13.4684053
Gemüse Kebab,52.5068561,13.4706758
Best Grill,52.5122324,13.4520754
Döner Dach Aceto Lokanta,52.5107353,13.4563544
Babek 2,52.5117429,13.4561409
Grillo,52.5148775,13.4610282
Mercan Bistro,52.5227734,13.4506162
Unbekannt,52.5169446,13.4613357
Euro Bistro,52.5147475,13.4664297
Bilakiss,52.51455,13.464197
Musti Döner,52.5149252,13.4674954
Dunya,52.5152755,13.4631732
Akcan Döner,52.5149029,13.4737036
Center Grill,52.5136838,13.4725763
Haroun,52.5157767,13.4679056
Bistro Samariter,52.518356,13.4658491
Orient Grill Haus,52.5303277,13.4257868
Grill Melis,52.5361026,13.4339033
Bistro Dogan,52.5297706,13.444582
Kebab Haus,52.539624,13.424095
Saray Grill,52.544686,13.426988
Şah,52.5433304,13.4408986
Anton Döner,52.5273708,13.4722383
Emo Bistro,52.5357963,13.4733267
Anton Grill,52.5482846,13.4518219
Gemüse Kebap,52.5486253,13.4516563
Familien Bistro II,52.5499204,13.4589615
AVCI Bistro,52.5037509,13.4859372
Bistro by Ossi,52.500891,13.4937741
AVCI Café & Bistro,52.5060384,13.4961055
Castello Bistro,52.5131855,13.482199
Payamlino Bistro,52.5120307,13.4965401
Selin,52.5145933,13.4981138
Royal Döner Burger,52.5124351,13.4979558
OPA Bistro,52.5092645,13.5044038
Arena Grill,52.50787,13.512577
Happy Döner,52.5057359,13.5200926
Bistro Burhan,52.513421,13.5216205
Mac's Deluxe,52.527485,13.4801013
Bistro Max & Moritz,52.526903,13.4789037
k.bap,52.5358699,13.4742779
MEGO Döner Box,52.5341218,13.4862258
Kiez Imbiss,52.5439645,13.4982623
Mein Döner,52.5255845,13.520484
Gemüse Kebap,52.4588215,13.526641
Döner Box Köpenick,52.4571499,13.5783536
Mr. Kebap,52.4580993,13.5801938
Royal Kebap,52.458448,13.5800009
Dönerpoint,52.5057935,13.5604279
Dönerhaus,52.5133751,13.5541731
Myster Döner,52.545914,13.554491
Ayy Kebap,52.5151822,13.5829698
Mac Kebab,52.51226,13.5885443
Megagrill,52.5110216,13.5870521
Bistro Dream,52.5209648,13.5883161
MAC's Kebap,52.5209567,13.587617
Bester Döner,52.5293128,13.5923588
Corner Snack,52.5384377,13.6038001
Döner Box,52.5454267,13.5924167
Döner Box,52.5464824,13.5925137
Ari's Diner,52.5363979,13.6057255
Grill-Station,52.5369706,13.6076579
Helle Bistro,52.5371818,13.6073144
Langhans-Grill,52.5512676,13.4425783
Maxim Grill,52.5522119,13.46654
Buchholz City Kebap Haus,52.5944041,13.4325846
Prime Kebab,52.590936,13.4427298
Alanya Grill,52.5611073,13.5000743
Mandy,52.5696815,13.4963217
Aladin Bistro,52.5698039,13.496614
My Döner,52.5704423,13.4962015
Aladdin's Döner,52.5711756,13.4998482
Grillen und Chillen / على كيفك,52.5698927,13.4952704
Mac's Deluxe,52.5677957,13.5125839
Alanya Bistro,52.5743583,13.5093662
Kebab King,52.567028,13.5191601
Bistro Alanya,52.5669851,13.5140043
Karow Döner,52.6144146,13.4696539
Döner,52.6145291,13.4703351
Dönerhaus 63,52.6487969,13.5151846
Eiskristall Döner,52.5553866,13.5599931
Alanya,52.5500648,13.5636196
Mauritius Grill,52.5696703,13.5673138
King Kebap-Haus,52.5714272,13.5681009
Schawarma City,52.4305261,13.2592077
Gemüse Kebap,52.4390356,13.3886753
Best Of Kebab,52.4579034,13.2897826
Metropol,52.4968545,13.2906042
Oriental Snack,52.4970256,13.2894345
Westfälische Döner Eck,52.4958581,13.2954386
Enjoy Kebap,52.5067028,13.283591
Max & Moritz,52.5055747,13.3072791
Crispy Döner,52.511986,13.3075624
Döner Express 24,52.4636987,13.3325284
Gemüse Kebab Eat&Go,52.4619096,13.3390698
Zelal,52.4729202,13.3280498
Balli,52.4659489,13.3851797
Timurs Hütte,52.4656471,13.38507
Avci Bistro,52.5020219,13.3438182
Gemüse Döner 46,52.5306152,13.3472028
Muca Kebap,52.5022814,13.4149186
Kebap habbabi,52.5209387,13.412131
Fatih Servet Döner,52.5255395,13.3696328
Grill Time,52.5478196,13.38896
Kebap House,52.5491994,13.3886762
Ernst Döner,52.5838141,13.3013898
Unbekannt,52.5959077,13.3359819
Hakiki,52.5573252,13.3734054
Dönermeister,52.5538407,13.413882
Bilakis,52.5505797,13.4144572
Kebap Haus,52.3581512,13.4342733
Hisab's Döner Kebab,52.4244399,13.4356486
Gropius Döner,52.4296684,13.452931
allim,52.4316199,13.4587421
Efsanem Kebap,52.4258576,13.4646314
Eddy's Gemüse Kebap,52.4156133,13.4958628
Döner Kasabali by Murat,52.4155716,13.4956765
Bistro Palme,52.4136812,13.5745978
Hakiki,52.4695824,13.4419482
Atila's Kebap Haus,52.4454608,13.4545145
Aladdin Dönerhaus,52.4747702,13.4276727
Traum Eck,52.477863,13.4483365
Gemüse Kebab Food Station,52.5205112,13.4626972
Maxim Grill,52.5310357,13.4707577
AVCI,52.5105342,13.4987418
Eleganz,52.5485335,13.505697
Bistro 63,52.5256813,13.5441125
Marzahn Grill,52.5459006,13.5450924
Döner Haus,52.5048784,13.5888483
Baran Bistro,52.5290449,13.5951698
Döner Box,52.5376258,13.5895416
Im'Biss Schawarma,52.5385608,13.6048481
Döner X,52.5380488,13.6055813
k.bap,52.5615014,13.499438
